# Range [m];Height [m];Real(p) [Pa];Imag(p) [Pa]
1.000000000000000000e+04;0.000000000000000000e+00;-3.311404539593670632e-04;4.760396683032767462e-04
1.000000000000000000e+04;3.968289718597812765e+01;-3.244154317874877532e-04;4.632517700050308470e-04
1.000000000000000000e+04;7.936579437195648268e+01;-3.318169104146093920e-04;4.742967457024742980e-04
1.000000000000000000e+04;1.190486915579346459e+02;-3.212814199807873189e-04;4.669926481832599452e-04
1.000000000000000000e+04;1.587315887439129654e+02;-3.259759244056048468e-04;4.816504263645764281e-04
1.000000000000000000e+04;1.984144859298911854e+02;-3.152196828001225864e-04;4.733950235834855774e-04
1.000000000000000000e+04;2.380973831158696896e+02;-3.184177507014957962e-04;4.916906823125375553e-04
1.000000000000000000e+04;2.777802803018482223e+02;-3.051655206046005901e-04;4.833996748944861875e-04
1.000000000000000000e+04;3.174631774878263286e+02;-3.075244820901568490e-04;4.996283634361539010e-04
1.000000000000000000e+04;3.571460746738040939e+02;-2.915031413556480296e-04;4.955904256174698333e-04
1.000000000000000000e+04;3.968289718597817455e+02;-2.908554921435903317e-04;5.190180983371422453e-04
1.000000000000000000e+04;4.365118690457586581e+02;-2.735658192927198492e-04;5.097993476515176158e-04
1.000000000000000000e+04;4.761947662317350591e+02;-2.711959418259778922e-04;5.306062995963100899e-04
1.000000000000000000e+04;5.158776634177095275e+02;-2.509861401448230727e-04;5.261046620932071944e-04
1.000000000000000000e+04;5.555605606036833706e+02;-2.471367957412364262e-04;5.497372633833041110e-04
1.000000000000000000e+04;5.952434577896535757e+02;-2.241357619130145400e-04;5.423144069160910040e-04
1.000000000000000000e+04;6.349263549756229850e+02;-2.150997479868515562e-04;5.681573194172539467e-04
1.000000000000000000e+04;6.746092521615850046e+02;-1.920738972615255655e-04;5.593760378287337357e-04
1.000000000000000000e+04;7.142921493475450916e+02;-1.835776812467331052e-04;5.812882187692039329e-04
1.000000000000000000e+04;7.539750465334909677e+02;-1.553661026620283903e-04;5.750579215288761231e-04
1.000000000000000000e+04;7.936579437194345701e+02;-1.396239252141778559e-04;6.008947935467685896e-04
1.000000000000000000e+04;8.333408409053508876e+02;-1.136363001250418242e-04;5.889733455915569047e-04
1.000000000000000000e+04;8.730237380912616345e+02;-9.735768364874289153e-05;6.101454733763323618e-04
1.000000000000000000e+04;9.127066352771191760e+02;-6.667609968979873025e-05;6.006103919642515401e-04
1.000000000000000000e+04;9.523895324629659171e+02;-4.468256811349429413e-05;6.205724443445785003e-04
1.000000000000000000e+04;9.920724296487095444e+02;-1.533081050259952824e-05;6.078936362444067442e-04
1.000000000000000000e+04;1.031755326834429752e+03;1.059442887394420687e-05;6.267580640387865809e-04
1.000000000000000000e+04;1.071438224019944528e+03;4.104910014904083391e-05;6.108454899663078117e-04
1.000000000000000000e+04;1.111121121205414966e+03;6.982725945677013596e-05;6.234053582699900084e-04
1.000000000000000000e+04;1.150804018390481815e+03;1.008973050725729367e-04;6.077865485404738109e-04
1.000000000000000000e+04;1.190486915575462945e+03;1.352995816940985899e-04;6.186454059561179207e-04
1.000000000000000000e+04;1.230169812759651677e+03;1.642217560573908596e-04;5.972022353790298714e-04
1.000000000000000000e+04;1.269852709943718537e+03;2.002078819895374375e-04;6.031455073416457178e-04
1.000000000000000000e+04;1.309535607126236755e+03;2.294250459570098513e-04;5.791489654942023066e-04
1.000000000000000000e+04;1.349218504308472347e+03;2.694408518180857622e-04;5.774685210737346515e-04
1.000000000000000000e+04;1.388901401487645671e+03;2.955677245705127989e-04;5.511326680048526808e-04
1.000000000000000000e+04;1.428584298666279892e+03;3.369332730874938426e-04;5.482879336015238384e-04
1.000000000000000000e+04;1.468267195838885982e+03;3.609574048333628708e-04;5.136534987155469238e-04
1.000000000000000000e+04;1.507950093010512091e+03;4.032393907322316781e-04;4.999539562211279160e-04
1.000000000000000000e+04;1.547632990170205858e+03;4.241628036136759383e-04;4.657701425490442452e-04
1.000000000000000000e+04;1.587315887328056306e+03;4.668577010376209584e-04;4.493101680641541930e-04
1.000000000000000000e+04;1.626998784462483854e+03;4.829474188346963184e-04;4.068269605179089684e-04
1.000000000000000000e+04;1.666681681476557969e+03;5.231559128350694431e-04;3.832724694084121910e-04
