# Height [m];Temperature [K];Wind Speed [m/s];Relative Humidity [%]
0.000000000000000000e+00;2.850833333333332575e+02;0.000000000000000000e+00;6.991666666666667140e+01
1.004016064257028107e-01;2.850816599732261807e+02;5.309208190775192016e-01;6.992085006693440619e+01
2.008032128514056214e-01;2.850799866131190470e+02;7.372110892759937695e-01;6.992503346720214097e+01
3.012048192771084043e-01;2.850783132530119701e+02;8.677069796571230675e-01;6.992921686746988996e+01
4.016064257028112428e-01;2.850766398929048933e+02;9.633743507777414727e-01;6.993340026773762474e+01
5.020080321285140812e-01;2.850749665327977596e+02;1.038940922070543671e+00;6.993758366800535953e+01
6.024096385542168086e-01;2.850732931726906827e+02;1.101404229584640238e+00;6.994176706827309431e+01
7.028112449799196471e-01;2.850716198125836058e+02;1.154643963164881271e+00;6.994595046854082909e+01
8.032128514056224855e-01;2.850699464524764721e+02;1.201036878172262679e+00;6.995013386880857809e+01
9.036144578313253239e-01;2.850682730923693953e+02;1.242145036634206168e+00;6.995431726907631287e+01
1.004016064257028162e+00;2.850665997322623184e+02;1.279050256711868894e+00;6.995850066934404765e+01
1.104417670682730890e+00;2.850649263721551847e+02;1.312532803246691415e+00;6.996268406961178243e+01
1.204819277108433617e+00;2.850632530120481078e+02;1.343173996613967747e+00;6.996686746987951722e+01
1.305220883534136345e+00;2.850615796519410310e+02;1.371418579707543772e+00;6.997105087014726621e+01
1.405622489959839294e+00;2.850599062918339541e+02;1.397614411992061711e+00;6.997523427041500099e+01
1.506024096385542244e+00;2.850582329317268204e+02;1.422038714720645247e+00;6.997941767068273577e+01
1.606425702811244971e+00;2.850565595716197436e+02;1.444915989962773484e+00;6.998360107095047056e+01
1.706827309236947698e+00;2.850548862115126667e+02;1.466430594938613163e+00;6.998778447121820534e+01
1.807228915662650648e+00;2.850532128514055330e+02;1.486735777427797833e+00;6.999196787148595433e+01
1.907630522088353597e+00;2.850515394912984561e+02;1.505960304023726826e+00;6.999615127175368912e+01
2.008032128514056325e+00;2.850498661311913793e+02;1.524213412016185432e+00;7.000033467202142390e+01
2.108433734939759052e+00;2.850481927710842456e+02;1.541588569270720743e+00;7.000451807228915868e+01
2.208835341365461780e+00;2.850465194109771687e+02;1.558166370669503920e+00;7.000870147255689346e+01
2.309236947791164507e+00;2.850448460508700919e+02;1.574016798642990933e+00;7.001288487282464246e+01
2.409638554216867234e+00;2.850431726907629582e+02;1.589201008304401919e+00;7.001706827309237724e+01
2.510040160642570406e+00;2.850414993306558813e+02;1.603772752333209484e+00;7.002125167336011202e+01
2.610441767068273133e+00;2.850398259705488044e+02;1.617779529474569378e+00;7.002543507362784680e+01
2.710843373493975861e+00;2.850381526104416707e+02;1.631263518591490325e+00;7.002961847389558159e+01
2.811244979919678588e+00;2.850364792503345939e+02;1.644262344594745517e+00;7.003380187416333058e+01
2.911646586345381316e+00;2.850348058902275170e+02;1.656809711305128108e+00;7.003798527443106536e+01
3.012048192771084487e+00;2.850331325301203833e+02;1.668935928060947704e+00;7.004216867469880015e+01
3.112449799196787215e+00;2.850314591700133064e+02;1.680668350784736864e+00;7.004635207496653493e+01
3.212851405622489942e+00;2.850297858099062296e+02;1.692031753659879234e+00;7.005053547523426971e+01
3.313253012048192669e+00;2.850281124497990959e+02;1.703048644118536847e+00;7.005471887550201870e+01
3.413654618473895397e+00;2.850264390896920190e+02;1.713739531209985678e+00;7.005890227576975349e+01
3.514056224899598568e+00;2.850247657295849422e+02;1.724123155391746209e+00;7.006308567603748827e+01
3.614457831325301296e+00;2.850230923694778653e+02;1.734216686212407987e+00;7.006726907630522305e+01
3.714859437751004023e+00;2.850214190093707316e+02;1.744035893123831560e+00;7.007145247657295783e+01
3.815261044176706751e+00;2.850197456492636547e+02;1.753595293689935497e+00;7.007563587684070683e+01
3.915662650602409478e+00;2.850180722891565779e+02;1.762908282689027883e+00;7.007981927710844161e+01
4.016064257028112650e+00;2.850163989290494442e+02;1.771987244991288124e+00;7.008400267737617639e+01
4.116465863453814933e+00;2.850147255689423673e+02;1.780843654598379233e+00;7.008818607764391118e+01
4.216867469879518104e+00;2.850130522088352905e+02;1.789488161832266666e+00;7.009236947791164596e+01
4.317269076305221276e+00;2.850113788487281568e+02;1.797930670335178949e+00;7.009655287817939495e+01
4.417670682730923559e+00;2.850097054886210799e+02;1.806180405276948120e+00;7.010073627844712973e+01
4.518072289156625843e+00;2.850080321285140030e+02;1.814245973947704593e+00;7.010491967871486452e+01
4.618473895582329014e+00;2.850063587684068693e+02;1.822135419733805994e+00;7.010910307898259930e+01
4.718875502008032186e+00;2.850046854082997925e+02;1.829856270325565415e+00;7.011328647925033408e+01
4.819277108433734469e+00;2.850030120481927156e+02;1.837415580881041066e+00;7.011746987951808308e+01
4.919678714859437640e+00;2.850013386880855819e+02;1.844819972766211125e+00;7.012165327978581786e+01
5.020080321285140812e+00;2.849996653279785050e+02;1.852075668404657982e+00;7.012583668005355264e+01
5.120481927710843095e+00;2.849979919678714282e+02;1.859188522696382240e+00;7.013002008032128742e+01
5.220883534136546267e+00;2.849963186077642945e+02;1.866164051403246482e+00;7.013420348058902221e+01
5.321285140562249438e+00;2.849946452476572176e+02;1.873007456845839247e+00;7.013838688085677120e+01
5.421686746987951722e+00;2.849929718875501408e+02;1.879723651211664404e+00;7.014257028112450598e+01
5.522088353413654005e+00;2.849912985274430071e+02;1.886317277736255793e+00;7.014675368139224076e+01
5.622489959839357176e+00;2.849896251673359302e+02;1.892792729985980804e+00;7.015093708165997555e+01
5.722891566265060348e+00;2.849879518072288533e+02;1.899154169443102003e+00;7.015512048192771033e+01
5.823293172690762631e+00;2.849862784471217765e+02;1.905405541569372252e+00;7.015930388219545932e+01
5.923694779116465803e+00;2.849846050870146428e+02;1.911550590503441116e+00;7.016348728246319411e+01
6.024096385542168974e+00;2.849829317269075659e+02;1.917592872529178871e+00;7.016767068273092889e+01
6.124497991967871258e+00;2.849812583668004891e+02;1.923535768436227977e+00;7.017185408299866367e+01
6.224899598393574429e+00;2.849795850066933554e+02;1.929382494880355070e+00;7.017603748326639845e+01
6.325301204819277601e+00;2.849779116465862785e+02;1.935136114839180133e+00;7.018022088353414745e+01
6.425702811244979884e+00;2.849762382864792016e+02;1.940799547248368562e+00;7.018440428380188223e+01
6.526104417670682167e+00;2.849745649263720679e+02;1.946375575894186749e+00;7.018858768406961701e+01
6.626506024096385339e+00;2.849728915662649911e+02;1.951866857630237373e+00;7.019277108433735179e+01
6.726907630522088510e+00;2.849712182061579142e+02;1.957275929979082729e+00;7.019695448460508658e+01
6.827309236947790794e+00;2.849695448460507805e+02;1.962605218173211430e+00;7.020113788487283557e+01
6.927710843373493965e+00;2.849678714859437036e+02;1.967857041684234476e+00;7.020532128514057035e+01
7.028112449799197137e+00;2.849661981258366268e+02;1.973033620284318612e+00;7.020950468540830514e+01
7.128514056224899420e+00;2.849645247657294931e+02;1.978137079679501031e+00;7.021368808567603992e+01
7.228915662650602592e+00;2.849628514056224162e+02;1.983169456750666360e+00;7.021787148594377470e+01
7.329317269076305763e+00;2.849611780455153394e+02;1.988132704434524500e+00;7.022205488621152369e+01
