# Range [m]; Height [m]; Real(p) [Pa]; Imag(p) [Pa]
1.267856491298222110e+01;1.813747394384903622e+00;-5.499611954907961467e-04;1.032155213536701437e-03
1.268040680096642348e+01;2.819587391369092089e+00;-5.908981108945664988e-04;2.669646596327251813e-03
1.266749840654166093e+01;3.794947417684254809e+00;1.053926030136468793e-03;2.264450803224577445e-03
1.264396847297706650e+01;4.801856937350359900e+00;7.456147161617844099e-04;4.050146326052664922e-04
1.265179347640018648e+01;5.806627447556636845e+00;-3.683907557170051027e-04;1.170620456606325920e-03
1.266356770512495267e+01;6.812467425588868863e+00;1.919227515433782590e-03;1.470754341681259356e-03
1.264792490531920421e+01;7.818307455797633310e+00;1.811934061211545668e-03;-1.779997148661999770e-03
1.261593837851242661e+01;8.793667518706223873e+00;-1.278010517196952580e-03;-1.210652212686660813e-03
1.263107608441823793e+01;9.799507488457862792e+00;-6.151086633816275776e-04;5.078925960964619270e-04
1.265916314588521985e+01;1.080534743340763448e+01;-3.299430874706755275e-04;5.577505321567241547e-04
1.267962880027388195e+01;1.181118739345053292e+01;1.178325455410101155e-03;6.483292622234778551e-04
1.267276392625524295e+01;1.281702740560169573e+01;1.255074424635397820e-04;-1.875470765667494209e-03
1.265647757865287204e+01;1.382286743853642186e+01;-1.810170039932190418e-03;1.199051743511263431e-03
1.266753434890471652e+01;1.479822741704723654e+01;2.086218112144375310e-03;5.238364171806478460e-04
1.268793391909349388e+01;1.580406737524145910e+01;-1.323674785672038440e-03;-1.433479109522734938e-03
1.267598995932915606e+01;1.680990740053384513e+01;2.807667795078710679e-04;1.789353032701499532e-03
1.267603835601089202e+01;1.781654253101928020e+01;6.469482372489644521e-04;-1.476757005479228382e-03
1.266624017239160338e+01;1.882158741850603434e+01;-1.125500789339174733e-03;7.121203520057604831e-04
1.266238649765537083e+01;1.979694742751377490e+01;1.025367845132100922e-03;-2.537166506176426282e-04
1.266644008999952220e+01;2.080278741997781111e+01;-8.607187668757014043e-04;-1.112934131643093718e-05
1.268467323538745184e+01;2.180862738296475811e+01;6.097570777463713490e-04;2.844010578564879280e-04
1.266764631981554956e+01;2.281446741532439759e+01;-2.881184836663284185e-04;-4.405058610966027660e-04
1.266471418372144342e+01;2.382030742296802472e+01;2.187187645344483184e-05;3.608085810997561016e-04
1.265076318226597607e+01;2.479566745071705469e+01;1.756355332970392549e-04;-2.469788733290987823e-04
1.266293656622340791e+01;2.580150742468024561e+01;-2.747214966121409646e-04;7.774757481633111627e-05
1.267101327763236540e+01;2.680734741121607811e+01;3.522901855028803667e-04;3.941338282694608459e-05
1.267230847456525744e+01;2.781318740749954088e+01;-4.134603192705584929e-04;-1.469190774682054283e-04
1.267519878735868311e+01;2.881902740188005296e+01;3.748099767052823347e-04;3.041233272180796196e-04
1.266781419294695255e+01;2.979438741621902054e+01;-2.259592305909384024e-04;-5.174175910405304788e-04
